Title,Author,Citation,Issue,Type ,Description,Year
"Response to Schanck: On the Need for Critical Law Librarianship, Or Are We All Legal Realists Now","Barkan, Steven M.",82 Law. Libr. J. 23 (1990),Issue 1,comments,Comment,1990
The Last Word (I Hope),"Schanck, Peter C.",82 Law. Libr. J. 37 (1990),Issue 1,article,,1990
Research Protocols in Reference Service: Informal Instruction in Law Firm Libraries,"Callinan, Ellen M.",82 Law. Libr. J. 39 (1990),Issue 1,article,,1990
An Academic Microcomputer Center in the Law Library,"Kelsh, Virginia J.",82 Law. Libr. J. 61 (1990),Issue 1,article,,1990
An Introduction to Law and Law Libraries in India,"Mahr, Theodore A.",82 Law. Libr. J. 91 (1990),Issue 1,comments,Comment,1990
From Ownership to Access: Standards of Quality for the Law Library of Tomorrow,"Martin, Harry S. III",82 Law. Libr. J. 129 (1990),Issue 1,article,,1990
"Compulsive Gambling: A Selected, Annotated Bibliography","Haythorn, J. Denny ",82 Law. Libr. J. 147 (1990),Issue 1,comments,Bibliography,1990
Private Law Library Survey 1988,"Dickson, Constance P. ",82 Law. Libr. J. 161 (1990),Issue 1,comments,Comment,1990
Bricks and Books for the Twenty-First Century: A Selected Bibliography for Academic Law Library Planners,"Payne, Lucy Salsbury",82 Law. Libr. J. 167 (1990),Issue 1,comments,Bibliography,1990
Relative Use of a Law Collection in a Small Academic Library,"Diodato, Virgil",82 Law. Libr. J. 179 (1990),Issue 1,article,,1990
"A Five-Year Cumulative Index to Questions & Answers Vols. 77-81, 1984-1989","Anson, Crystal",82 Law. Libr. J. 187 (1990),Issue 1,article,,1990
Project CLEAR's Paper Choice: A Hypertext System for Giving Advice about Legal Research,"Hardy, I. Trotter",82 Law. Libr. J. 209 (1990),Issue 2,article,,1990
History of the University of Washington Law Librarianship Program,"Goldsmith, Laura M.",82 Law. Libr. J. 239 (1990),Issue 2,article,,1990
Developing and Implementing a System of Nonlegal Database Services in a Law School Setting,"Sanderson, Rosalie M.",82 Law. Libr. J. 281 (1990),Issue 2,article,,1990
Congressional Intent and Legislative Histories: Analysis or Psychoanalysis,"Jacobstein, J. Myron;Mersky, Roy M.",82 Law. Libr. J. 297 (1990),Issue 2,article,,1990
The Uses and Values of Legislative Histories: A Reply,"Schanck, Peter C.",82 Law. Libr. J. 303 (1990),Issue 2,comments,,1990
Virginia Manuscript Law Reports,"Bryson, W. Hamilton",82 Law. Libr. J. 305 (1990),Issue 2,article,,1990
The Japanese Legal System and International Trade: Up-to-Date Sources of Information in English,"Britt, Robert R.",82 Law. Libr. J. 313 (1990),Issue 2,article,,1990
Library-Vendor Cooperation in Cataloging Legal Research Databases: The Minnesota/WESTLAW Experience,"Daly, Gail M.",82 Law. Libr. J. 331 (1990),Issue 2,article,,1990
Integrating Remote Computer File Databases into the Collection with Bibliographic Description,"Matthews, Elizabeth W.",82 Law. Libr. J. 341 (1990),Issue 2,article,,1990
The Use of Nonhuman Animals in Research,"Buyukmihci, Nedim C.",82 Law. Libr. J. 351 (1990),Issue 2,article,,1990
"Animal Rights: An Interdisciplinary, Selective Bibliography","Chase, Marcelle P.",82 Law. Libr. J. 359 (1990),Issue 2,comments,Bibliography,1990
Looking in Our Backyards,"Briscoe, Georgia",82 Law. Libr. J. 393 (1990),Issue 2,comments,Commentary,1990
"The Only Game in Town: Contemporary Interpretive Theory, Statutory Construction, and Legislative Histories","Schanck, Peter C.",82 Law. Libr. J. 419 (1990),Issue 3,article,,1990
Reviving Legal Research: A Reply to Berring and Vanden Heuvel,"Wren, Christopher G.;Wren, Jill Robinson",82 Law. Libr. J. 463 (1990),Issue 3,comments,Comment,1990
Legal Research: A Final Response,"Berring, Robert C.;Heuvel, Kathleen Vanden",82 Law. Libr. J. 495 (1990),Issue 3,comments,Comment,1990
Strict Liability for the Dissemination of Dangerous Information,"Gray, John A.",82 Law. Libr. J. 497 (1990),Issue 3,article,,1990
Basic Books and Periodicals on Jewish Law: A Guide for Law Librarians,"Weisbard, Phyllis Holman",82 Law. Libr. J. 519 (1990),Issue 3,article,,1990
NOTIS Users' Survey: An Initial Reaction,"Johnston, Janis L.",82 Law. Libr. J. 531 (1990),Issue 3,comments,Comment,1990
Best Legal Reference Books of 1989,"Yirka, Carl A.",82 Law. Libr. J. 543 (1990),Issue 3,article,,1990
Reznikoff's Testimony,"Watson, Benjamin",82 Law. Libr. J. 647 (1990),Issue 4,article,,1990
Sexist Language: An Overview for Teachers and Librarians,"Jones, Cathy J.",82 Law. Libr. J. 673 (1990),Issue 4,article,,1990
USMARC Self-Defense,"Calk, Jo",82 Law. Libr. J. 683 (1990),Issue 4,article,,1990
Alabama Practice Materials: A Selective Annotated Bibliography,"Kitchens, Lynne B.;Lewis, Timothy A.",82 Law. Libr. J. 703 (1990),Issue 4,comments,Bibliography,1990
Barcoding a Library Collection,"Bluh, Pamela",82 Law. Libr. J. 727 (1990),Issue 4,article,,1990
Electronic Bulletin Boards for Law Libraries,"Miller, Bruce Cummings",82 Law. Libr. J. 737 (1990),Issue 4,article,,1990
Literature on Computer Software and Legal Decision Making,"Nagel, Stuart S.",82 Law. Libr. J. 749 (1990),Issue 4,article,,1990
Sources of Rules of State Courts ,"Reidinger, Betsy;Lemmon, Virginia Till",82 Law. Libr. J. 761 (1990),Issue 4,article,,1990
Survey of State Court Opinion Writing and Publication Practices,"Williams, Jane",83 Law. Libr. J. 21 (1991),Issue 1,comments,Comments,1991
The New United Kingdom Copyright Act and Its Implications for Libraries and Archives,"Cornish, Graham P.",83 Law. Libr. J. 51 (1991),Issue 1,article,,1991
"Training New Law Library Personnel: The Neglected, Essential Activity","Johnston, Janis L.",83 Law. Libr. J. 61 (1991),Issue 1,article,,1991
A Measure of CALR Use by First-Year Law Students Following Mandatory Training,"Cherry, Anna M.",83 Law. Libr. J. 73 (1991),Issue 1,article,,1991
Improving Your Teaching: How Do Students Learn,"Champagne, David W.",83 Law. Libr. J. 85 (1991),Issue 1,article,,1991
"User Manuals for the Private Law Firm Library: Planning, Design, and Development","Jay, Marjorie",83 Law. Libr. J. 91 (1991),Issue 1,article,,1991
The Value of Business-Related Information in the Academic Law Library,"Mersky, Roy M.;Simoni, Christopher",83 Law. Libr. J. 109 (1991),Issue 1,article,,1991
Business Information in the Law School: A Selective Bibliography of Commercial Sources,"Young, Stephen E.",83 Law. Libr. J. 117 (1991),Issue 1,comments,Bibliography,1991
Business Information in the Law School: A Selective Bibliography of Government Documents,"Bridges, Barbara S.",83 Law. Libr. J. 131 (1991),Issue 1,comments,Bibliography,1991
"Law Library of Congress and the Legal Profession, The ","Danner, Richard A.",83 Law. Libr. J. 211 (1991),Issue 2,article,,1991
The Law Library of Congress as a National Law Library,"Costle, Douglas M.;Yirka, Carl A.",83 Law. Libr. J. 219 (1991),Issue 2,article,,1991
Building a National Law Library to Serve the World Legal Community,"Price, M. Kathleen",83 Law. Libr. J. 225 (1991),Issue 2,article,,1991
Introduction to the Symposium on Foreign Legal Databases,"Thomas, David A.",83 Law. Libr. J. 235 (1991),Issue 2,comments,Symposium on Foreign Legal Databases,1991
Online Legal Databases: France and the European Communities,"Jeffries, John",83 Law. Libr. J. 237 (1991),Issue 2,article,Symposium on Foreign Legal Databases,1991
"Legal Information Systems and Other Law-Related Databases in Germany, Austria, and Switzerland","Muller, Harald",83 Law. Libr. J. 253 (1991),Issue 2,article,Symposium on Foreign Legal Databases,1991
United Kindgom Legal Databases,"Logan, Robert G.",83 Law. Libr. J. 269 (1991),Issue 2,article,Symposium on Foreign Legal Databases,1991
Media Equipment Selection Methods for Law Libraries,"McCormack, Terrence E.",83 Law. Libr. J. 283 (1991),Issue 2,article,,1991
Managing Student Assistants in the Law Library,"Malmquist, Katherine E.",83 Law. Libr. J. 301 (1991),Issue 2,article,,1991
Most-Cited U.S. Courts of Appeals Cases from 1932 until the Late 1980s,"Schriek, Robert",83 Law. Libr. J. 317 (1991),Issue 2,article,,1991
Avoiding the Dragon in Library Cooperation,"Wells, William W.",83 Law. Libr. J. 333 (1991),Issue 2,article,,1991
Working on the Law Reform Database,"Reid, Marianne",83 Law. Libr. J. 347 (1991),Issue 2,article,,1991
"Cliobernetics, Christianity, and the Common Law","Chilton, Bradley S.",83 Law. Libr. J. 355 (1991),Issue 2,article,,1991
"Are You Now Or Have You Been a Law Librarian: A Look at AALL Scholarship Recipients, 1967-1988","Duggan, James E.",83 Law. Libr. J. 363 (1991),Issue 2,article,,1991
The Legal Personality of the Colonial Period of Mexico,"Avalos, Francisco",83 Law. Libr. J. 393 (1991),Issue 2,article,,1991
"The Future of Law Librarians in Changing Institutions, Or the Hazards and Opportunities of New Information Technology","Martin, Peter W.",83 Law. Libr. J. 419 (1991),Issue 3,article,,1991
Archives and Manuscripts: New Collecting Areas for Law Libraries,"Trimble, Marsha",83 Law. Libr. J. 429 (1991),Issue 3,article,,1991
Copyright and the Use of Telefacsimile among Branch Library Facilities,"Ensign, David",83 Law. Libr. J. 451 (1991),Issue 3,article,,1991
The Smith Nicholas Law Library,"Sellers, Nicholas",83 Law. Libr. J. 463 (1991),Issue 3,article,,1991
Acquiring Minds Want to Know: Integrating Automated Acquisitions with Other Library Functions,"Myers, Anne K.",83 Law. Libr. J. 479 (1991),Issue 3,article,,1991
What Does and Does Not Happen in Law School to Prepare Students to Practice Law: A View from Both Sides of the Academic/Practice Dichotomy,"Terrell, Timothy P.",83 Law. Libr. J. 493 (1991),Issue 3,comments,Commentary,1991
Capturing the Literature of the Bar: A Proposal for Library Package Plans,"Briscoe, Georgia",83 Law. Libr. J. 503 (1991),Issue 3,comments,Commentary,1991
"Survey of State, Court, and County Law Libraries","Fraley, Ruth A.",83 Law. Libr. J. 543 (1991),Issue 3,comments,Comment,1991
From the Editor: Supporting Professional Research,"Danner, Richard A.",83 Law. Libr. J. 615 (1991),Issue 4,notes,Note,1991
The Law Librarian as Paratrooper,"Katsh, Ethan",83 Law. Libr. J. 627 (1991),Issue 4,article,Symposium on Automation and the Changing Environment of Legal Scholarship,1991
How New Information Technologies Will Change the Way Law Professors Do and Distribute Scholarship,"Martin, Peter W.",83 Law. Libr. J. 633 (1991),Issue 4,article,Symposium on Automation and the Changing Environment of Legal Scholarship,1991
Legal Scholarship and the Electronic Revolution,"Hoover, James L.",83 Law. Libr. J. 643 (1991),Issue 4,article,Symposium on Automation and the Changing Environment of Legal Scholarship,1991
Copyright Compliance by Law Firms (17 U.S.C. 108): An Ethical Dilemma for Librarians,"Nemchek, Lee R.",83 Law. Libr. J. 653 (1991),Issue 4,article,,1991
Opening a Window of Opportunity: The Library Staff as a Meaningful and Integrated Part of the Law School Community,"Slinger, Michael J.",83 Law. Libr. J. 685 (1991),Issue 4,article,,1991
Usage of Nonlegal Databases in Law Firm and Academic Law Libraries,"Craig, Edward L. Jr.",83 Law. Libr. J. 705 (1991),Issue 4,article,,1991
Cataloging and Classification of Law Materials: A Survey of Recent Literature,"Stone, Alva T.;Tam, Jessie",83 Law. Libr. J. 721 (1991),Issue 4,comments,Comment,1991
Majority Opinion Assignment on the U.S. Supreme Court: A Bibliographic Overview of the Social Science Studies,"Brenner, Saul",83 Law. Libr. J. 763 (1991),Issue 4,comments,Comment,1991
The Faculty Services Department: Fine-Tuning the Research Engine,"Schultz, Jon S.",83 Law. Libr. J. 771 (1991),Issue 4,article,,1991
"German Division and Reunification, 1944-1990: An Overview via the Documents","Kearley, Timothy",84 Law. Libr. J. 1 (1992),Issue 1,article,,1992
Three Researchers in Search of an Alcove: A Play in Six Acts,"Roehrenbeck, Carol A.;Richmond, Gail Levin",84 Law. Libr. J. 13 (1992),Issue 1,article,,1992
Lawyer-Librarians in Public Law Schools: The Ethical Conundrums of Pro Bono Activities,"Garner, Kathy",84 Law. Libr. J. 31 (1992),Issue 1,article,,1992
How to Develop a Marketing Plan for a Law Firm Library,"Shimpock-Vieweg, Kathy",84 Law. Libr. J. 67 (1992),Issue 1,article,,1992
New Mexico Practice Materials: A Selective Annotated Bibliography,"Woodward, Mary A.",84 Law. Libr. J. 93 (1992),Issue 1,comments,Bibliography,1992
Rating the Justices,"Mersky, Roy M.;Hartman, Gary R.",84 Law. Libr. J. 113 (1992),Issue 1,article,,1992
Library Needs of a Patent Attorney ,"Terry, Kathleen R.",84 Law. Libr. J. 117 (1992),Issue 1,article,,1992
Electronic Resources for Patent Searching,"Butler, John T.",84 Law. Libr. J. 121 (1992),Issue 1,article,,1992
The Civil Law in Canada,"Brierley, John E. C.",84 Law. Libr. J. 159 (1992),Issue 1,article,,1992
"Survival of Civil Law in North America: The Case of Louisiana, The ","Carbonneau, Thomas E.",84 Law. Libr. J. 171 (1992),Issue 1,article,,1992
The Civil Law Heritage in the Transformation of Quebec Private International Law,"Talpis, Jeffrey A.",84 Law. Libr. J. 177 (1992),Issue 1,article,,1992
The Quebec Legal System: An Overview,"LeMay, Denis",84 Law. Libr. J. 189 (1992),Issue 1,article,,1992
WESTLAW and the American Digest Classification Scheme,"Doyle, John",84 Law. Libr. J. 229 (1992),Issue 2,article,,1992
Teaching Legal Research: Past and Present ,"Janto, Joyce Manna;Harrison-Cox, Lucinda D.",84 Law. Libr. J. 281 (1992),Issue 2,article,,1992
Montana Practice Materials: A Selective Annotated Bibliography,"Jordan, Stephen R.",84 Law. Libr. J. 299 (1992),Issue 2,comments,Bibliography,1992
The Public Performance Right in Libraries: Is There Anything Fair about It,"Heller, James S.",84 Law. Libr. J. 315 (1992),Issue 2,article,,1992
Copyright Law and Library Photocopying: An Historical Survey,"Tepper, Laurie C.",84 Law. Libr. J. 341 (1992),Issue 2,comments,Comment,1992
Limiting Secondary Patrons' Use of Academic Law Libraries during Examination Periods,"Murray, James M.",84 Law. Libr. J. 365 (1992),Issue 2,article,,1992
When Goals Collide: Planning and Implementing a Restricted Access Policy at the University of Michigan Law Library,"Snow, Barbara J.",84 Law. Libr. J. 383 (1992),Issue 2,article,,1992
Research Needs in Academic Law Libraries,"Millican, Rita;Wallace, Danny P.",84 Law. Libr. J. 421 (1992),Issue 3,article,,1992
CD-Rom Journal Indexes: Wilsondisc Compared to Legaltrac,"McKenzie, Elizabeth M.;McDermott, Margaret H.",84 Law. Libr. J. 439 (1992),Issue 3,article,,1992
Vietnamese Law in English: A Selected Annotated Bibliography,"James, Barbara G.",84 Law. Libr. J. 461 (1992),Issue 3,comments,Bibliography,1992
Proposed Constitutional Amendments as a Research Tool: The Example of Prohibition,"Heard, Thomas E.",84 Law. Libr. J. 499 (1992),Issue 3,article,,1992
"Kentucky Practice Materials: A Selective, Annotated Bibliography","Torres, Arturo L.",84 Law. Libr. J. 509 (1992),Issue 3,comments,Bibliograpy,1992
A Survey of Legal Research Guides,"Anson, Crystal;Woodward, Mary",84 Law. Libr. J. 543 (1992),Issue 3,comments,Comment,1992
Legal Information for the Public: A Public Library Perspective,"Crowther, Janet L.",84 Law. Libr. J. 559 (1992),Issue 3,article,,1992
The Paralegal as Patron,"Carlson, Kathleen B. ",84 Law. Libr. J. 567 (1992),Issue 3,article,,1992
"Academic Law Library Statistics, 1876-1992","Gasaway, Laura N.",84 Law. Libr. J. 573 (1992),Issue 3,article,,1992
Writing Research Results for Publication,"Kaufman, Debra",84 Law. Libr. J. 617 (1992),Issue 3,comments,Commentary,1992
A Common Lawyer's Bookshelf Recreated: An Annotated Bibliography of a Collection of Sixteenth-Century English Law Books,"Topulos, Katherine",84 Law. Libr. J. 641 (1992),Issue 4,comments,Bibliography,1992
The History of the Los Angeles County Law Library,"Fruchtman, Gail H.",84 Law. Libr. J. 687 (1992),Issue 4,article,,1992
Cancelling Serials in Academic Law Libraries: Keeping the Collection Lean and Mean in Good Times and Bad,"Freehling, Dan J.",84 Law. Libr. J. 707 (1992),Issue 4,article,,1992
Introducing CD-ROMs into a Law Library: Administrative Issues and Concerns,"Bintliff, Barbara A.",84 Law. Libr. J. 725 (1992),Issue 4,article,,1992
Access to Academic Law Library Services: A Survey,"Foster, Lynn",84 Law. Libr. J. 741 (1992),Issue 4,comments,Comment,1992
Indexing and Searching in Statutory Text,"Corbett, Maryann",84 Law. Libr. J. 759 (1992),Issue 4,article,,1992
"An Index to Memorials Published in the Law Library Journal, 1916-92","Houdek, Frank G.",84 Law. Libr. J. 769 (1992),Issue 4,article,,1992
Mastering the Lawless Science of Our Law: A Story of Legal Citation Indexes,"Ogden, Patti",85 Law Libr. J. 1 (1993),Issue 1,article,,1993
"Why Legal Research Skills Declined, or When Two Rights Make a Wrong","Dunn, Donald J.",85 Law Libr. J. 49 (1993),Issue 1,article,,1993
Freedom of Speech for Libraries and Librarians,"Smolla, Rodney A.",85 Law Libr. J. 71 (1993),Issue 1,article,,1993
Of Legislative Histories and Librarians,"Margeton, Stephen G.",85 Law Libr. J. 81 (1993),Issue 1,article,,1993
Cataloging Reform: An Overview for Academic Law Librarians,"Thomas, Joseph W.",85 Law Libr. J. 99 (1993),Issue 1,article,,1993
Legal Reference Books Review,"McCluer, Molly",85 Law Libr. J. 113 (1993),Issue 1,article,,1993
Academic Law Librarians Today: Survey of Salary and Position Information,"Malmquist, Katherine E.",85 Law Libr. J. 135 (1993),Issue 1,article,,1993
"Trends in Compensation of Academic Law Librarians, 1971-91","Hoeppner, Christopher J.",85 Law Libr. J. 185 (1993),Issue 1,article,,1993
Lawyer-Librarians in Public Law Schools: Too Many Unanswered Questions,"Herskowitz, Suzan",85 Law Libr. J. 205 (1993),Issue 1,comments,Commentary,1993
Reply to Herskowitz's Unanswered Questions,"Garner, Kathy",85 Law Libr. J. 209 (1993),Issue 1,comments,Commentary,1993
Creating an Expert System for Legislative History Research: Project CLEAR's Lexpert,"Hardy, I. T.",85 Law Libr. J. 239 (1993),Issue 2,article,,1993
"Justices, Books, Laws, and Courts in Seventeenth-Century Virginia","Billings, Warren M.",85 Law Libr. J. 277 (1993),Issue 2,article,,1993
"Selective, Annotated Bibliography on the Electoral College: Its Creation, History, and Prospects for Reform","Anglim, Christopher",85 Law Libr. J. 297 (1993),Issue 2,index,,1993
Law School Library Organization in the Age of Computers,"Belgum, Kathie",85 Law Libr. J. 329 (1993),Issue 2,article,,1993
How the United States Perfects an International Agreement,"Surrency, Erwin C.",85 Law Libr. J. 343 (1993),Issue 2,article,,1993
The Case of the Disappearing Briefs: A Study in Preservation Strategy,"Leary, Margaret A.",85 Law Libr. J. 357 (1993),Issue 2,article,,1993
The Acquisition of Out-of-Print and Antiquarian Law Books,"Gilliam, Mary Cooper",85 Law Libr. J. 385 (1993),Issue 2,article,,1993
A Poststructuralist Analysis of the Legal Research Process,"Farmer, Jill Anne",85 Law Libr. J. 391 (1993),Issue 2,comments,1992 Call for Papers,1993
The Law Review Symposium Issue: Community of Meaning or Reinscription of Hierarchy,"Stefancic, Jean",85 Law Libr. J. 405 (1993),Issue 2,comments,1992 Call for Papers,1993
A Bibliometric Study of Texas Law Reviews,"Justiss, Laura K.",85 Law Libr. J. 407 (1993),Issue 2,comments,1992 Call for Papers,1993
Client-Based Document Delivery Services,"Trauner, Meg",85 Law Libr. J. 409 (1993),Issue 2,comments,Commentary,1993
Access to Depository Materials,"Kelley, Wayne P.",85 Law Libr. J. 413 (1993),Issue 2,comments,Commentary,1993
Response to Wayne P. Kelley,"Leary, Margaret A.",85 Law Libr. J. 417 (1993),Issue 2,comments,Commentary,1993
Response to Wayne P. Kelley,"Murray, James M.",85 Law Libr. J. 419 (1993),Issue 2,comments,Commentary,1993
Law and the Homeless: An Annotated Bibliography,"Jarrett, Beth D.;Daniels, Wes",85 Law Libr. J. 463 (1993),Issue 3,index,,1993
Historical Development of the Law Concerning Judicial Report Publication,"Biscardi, Francine",85 Law Libr. J. 531 (1993),Issue 3,article,,1993
"State Legislative Histories: A Select, Annotated Bibliography","Torres, Jose R.;Windsor, Steve",85 Law Libr. J. 545 (1993),Issue 3,index,,1993
Look Beyond LEXIS and WESTLAW: Other Computer Applications in the Practice of Law,"Krause, Margaret Maher",85 Law Libr. J. 575 (1993),Issue 3,article,,1993
Teaching Legal Research to a Diverse Student Body,"Cohen, Eileen B.",85 Law Libr. J. 583 (1993),Issue 3,article,,1993
The Video Collection: Selection and Evaluation,"Miller, Ellen J.",85 Law Libr. J. 591 (1993),Issue 3,article,,1993
Striking a Balance: Document Delivery in the Nineties,"Bluh, Pamela",85 Law Libr. J. 599 (1993),Issue 3,article,,1993
Integrating Document Delivery Services with Electronic Document Delivery Technologies,"Jackson, Mary E.",85 Law Libr. J. 609 (1993),Issue 3,article,,1993
Is the Library without Walls on a Collision Course with the 1976 Copyright Act,"Jensen, Mary Brandt",85 Law Libr. J. 619 (1993),Issue 3,article,,1993
Free to Be You and Me: Librarians and Freedom of Expression,"Farmer, Jill Anne",85 Law Libr. J. 693 (1993),Issue 4,comments,1993 Call for Papers,1993
WESTLAW Is Natural v. Boolean Searching: A Performance Study,"Desert, Sheilla E.",85 Law Libr. J. 713 (1993),Issue 4,comments,1993 Call for Papers,1993
Death and Rebirth of a National Information Policy: What We Had and What We Need,"McLean, C. D.",85 Law Libr. J. 743 (1993),Issue 4,comments,1993 Call for Papers,1993
Introduction to Law Library Consortia: The State of the Art,"Koster, Gregory E.",85 Law Libr. J. 763 (1993),Issue 4,comments,,1993
The New England Law Library Consortium Experience,"Crane, Martha Berglund",85 Law Libr. J. 767 (1993),Issue 4,article,,1993
The Northwest Consortium of Law Libraries Experience,"Meadows, Judith",85 Law Libr. J. 775 (1993),Issue 4,article,,1993
The New York Joint International Law Program Experience,"Robbins, Sara;Koster, Gregory E.",85 Law Libr. J. 783 (1993),Issue 4,article,,1993
The Mid-America Law School Library Consortium Catalog on CD-ROM,"Amelung, Richard C.",85 Law Libr. J. 801 (1993),Issue 4,article,,1993
Law Library Consortia: The Compleat Experience,"Koster, Gregory E.;Houdek, Frank G.",85 Law Libr. J. 813 (1993),Issue 4,article,,1993
Freshmen Justices on the United States Supreme Court: A Bibliographic Overview of the Social Science Studies,"Brenner, Saul",85 Law Libr. J. 829 (1993),Issue 4,article,,1993
Library of Congress Classification Schedule of Ancient and Medieval Indian Legal Literature,"Nelson, David N.",85 Law Libr. J. 837 (1993),Issue 4,index,,1993
AALL and the Road to Diversity,"Mersky, Roy M.",85 Law Libr. J. 859 (1993),Issue 4,comments,Commentary,1993
A Guide to American Legal History Methodology with an Example of Research in Progress,"Parrish, Jenni",86 Law Libr. J. 105 (1994),Issue 1,article,,1994
An Analysis of Citations to Authority in Ohio Appellate Decisions Published in 1990,"Leonard, James",86 Law Libr. J. 129 (1994),Issue 1,article,,1994
Staffing for Computing Services in Academic Law Libraries,"Silvis, Gregg A.",86 Law Libr. J. 157 (1994),Issue 1,notes,,1994
Automating with Another Library's Bibliographic Records,"Williams, Leonette M.",86 Law Libr. J. 169 (1994),Issue 1,article,,1994
From the Editor: Big Things,"Danner, Richard A.",86 Law Libr. J. 185 (1994),Issue 2,notes,Note,1994
Total Quality Management: Why Being Good Isn't Good Enough Anymore,"Harhai, Marilyn Kay",86 Law Libr. J. 191 (1994),Issue 2,article,,1994
An Overview of the Legal System of the Aztec Empire,"Avalos, Francisco",86 Law Libr. J. 259 (1994),Issue 2,article,,1994
De-Mystifying Legal Research for Prisoners,"Mongelli, William D.",86 Law Libr. J. 277 (1994),Issue 2,article,,1994
Law Libraries and the Americans with Disabilities Act: Making Law Libraries Accessible to the Visually Impaired,"Wilhelmus, David W.",86 Law Libr. J. 299 (1994),Issue 2,article,,1994
Judicial Activism in Prose: A Librarian's Guide to the Opinions of Justice Michael A. Musmanno,"Spector, Steven B.",86 Law Libr. J. 311 (1994),Issue 2,article,,1994
Something Little and Shiny on the Judicial Stage: The Paper Clip,"Stein, Jay W.",86 Law Libr. J. 323 (1994),Issue 2,article,,1994
Art Law Research: An Introduction,"Diaz, Carmina M.",86 Law Libr. J. 335 (1994),Issue 2,comments,,1994
Survey of Single-Judge Municipal Court Libraries in Ohio,"Byrne, Cornelia",86 Law Libr. J. 351 (1994),Issue 2,notes,Notes,1994
Tip Jars at the Law Library Reference Desk,"Kunsch, Kelly",86 Law Libr. J. 369 (1994),Issue 2,comments,Commentary,1994
From the Editor: It's the Network,"Danner, Richard A.",86 Law Libr. J. 391 (1994),Issue 3,notes,Note,1994
Library Open-Distribution Systems and Copyright Infringement in Canada and the United States,"Pearse, Richard",86 Law Libr. J. 399 (1994),Issue 3,article,,1994
Legal Aspects of Passive Smoking: An Annotated Bibliography,"Okonska, Maria",86 Law Libr. J. 445 (1994),Issue 3,notes,,1994
Special Collections in Law School Libraries,"Mayo-Jefferies, Deborah",86 Law Libr. J. 503 (1994),Issue 3,article,,1994
County Law Library Cataloging by the Minnesota State Law Library: A Ten Year Review,"Galligan, Sara",86 Law Libr. J. 529 (1994),Issue 3,article,,1994
Twentieth-Century Virginia Legal Periodicals: A Bibliography and Commentary,"Bryson, W. H.;Jorgensen, J. N.",86 Law Libr. J. 541 (1994),Issue 3,comments,,1994
The History of Statutory Compilations in Pennsylvania,"Fishman, Joel",86 Law Libr. J. 559 (1994),Issue 3,article,,1994
The Fielding Lewis Turner Law Library,"Sellers, Nicholas",86 Law Libr. J. 597 (1994),Issue 3,article,,1994
Faculty Privileges and Abuses: A Librarian's Dilemma,"Clapp, Laurel R.",86 Law Libr. J. 605 (1994),Issue 3,comments,Commentary,1994
"Legal Databases, Legal Epistemology, and the Legal Order","Pantaloni, Nazareth A. M. III",86 Law Libr. J. 679 (1994),Issue 4,article,1994 Call for Papers,1994
Wisconsin County Law Libraries: A Court Evaluation Project,"Koslov, Marcia J.",86 Law Libr. J. 707 (1994),Issue 4,article,1994 Call for Papers,1994
One Piece of the Collection Development Puzzle: Issues in Drafting Format Selection Guidelines,"Franklin, Jonathan A.",86 Law Libr. J. 753 (1994),Issue 4,article,1994 Call for Papers,1994
Law and Literature Brought to Book: A Provisional Bibliography of Bibliographical Sources,"O'Connor, Patricia Harris;Menefee, Samuel Pyeatt",86 Law Libr. J. 781 (1994),Issue 4,article,,1994
Decapitalization of Discards in a Law Library,"Millican, Rita;Morrison, Susan",86 Law Libr. J. 817 (1994),Issue 4,article,,1994
Putting Legal Research into Context: A Nontraditional Approach to Teaching Legal Research,"Goldberg, Perry M.;Goldberg, Marci Rothman",86 Law Libr. J. 823 (1994),Issue 4,article,,1994
Poststructuralism and the Brave New World of Legal Research,"Duggan, Michael;Isenbergh, David",86 Law Libr. J. 829 (1994),Issue 4,comments,Commentary,1994
From the Editor: Talking about Shoes 'N' Stuff,"Houdek, Frank G.",87 Law. Libr. J. 5 (1995),Issue 1,notes,Note,1995
Lawyering Decisions: New Materials for Law Libraries to Collect,"Brown, Louis M.",87 Law. Libr. J. 7 (1995),Issue 1,article,,1995
Utah Practice Materials: A Selective Annotated Bibliography,"Staheli, Kory D.",87 Law. Libr. J. 28 (1995),Issue 1,article,,1995
"Where are they Now The Founding Members of the State, Court & County Law Libraries Special Interest Section of the American Association of Law Libraries","Meadows, Judith A.",87 Law. Libr. J. 50 (1995),Issue 1,article,,1995
Islamic Law Bibliography: Revised and Updated List of Secondary Sources,"Makdisi, John;Makdisi, Marianne",87 Law. Libr. J. 69 (1995),Issue 1,article,,1995
Bibliographic Access to Legal Research Databases Reconsidered,"Daly, Gail M.",87 Law. Libr. J. 192 (1995),Issue 1,article,,1995
The Authorized Practice of Legal Reference Service,"Mosley, Madison Jr.",87 Law. Libr. J. 203 (1995),Issue 1,comments,Commentary,1995
International Law Book Prices,"Kearly, Timothy",87 Law. Libr. J. 239 (1995),Issue 2,article,,1995
Profiling Minority Law Libraries: A Report on the 1992-1993 Survey,"King, Dwight;Ballard, Rhea A-L ;Lai, Helena;Mills, Grace M.",87 Law. Libr. J. 247 (1995),Issue 2,article,,1995
Chutzpah and the Law,"Spector, Steven B.",87 Law. Libr. J. 357 (1995),Issue 2,article,,1995
